period,open_funds_count,open_funds_assets,closed_funds_count,closed_funds_assets,total_funds_count,total_assets,local_shares,foreign_shares,local_bonds,foreign_bonds,local_funds,foreign_funds,local_other,foreign_other,local_real_estate,total_assets_by_type,active_funds_count,subscribers_count,local_assets_total,foreign_assets_total,grand_total_assets,local_pct,foreign_pct
1998-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1424.845,3612.703,2072.02,494.722,4312.009,3560.0,2467.69,3387.3,0.0,21331.289,105,63039,11600.0,9731.0,21331.0,0.0,0.0
1998-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1490.643,4042.155,1923.5,500.838,4721.262,3773.499,2648.92,3531.0,0.0,22631.817,107,65631,12062.0,10570.0,22632.0,0.0,0.0
1998-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1375.639,4042.272,2344.6,535.28,4121.417,4016.82,2568.53,4687.34,0.0,23691.898,116,68039,11754.0,11938.0,23692.0,0.0,0.0
1998-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1206.603,4451.868,2494.5,532.603,4119.194,4357.649,2659.0,5187.87,0.0,25009.287,121,69543,12001.0,13008.0,25009.0,0.0,0.0
1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1207.865,4387.732,1378.1,464.442,5483.998,5303.744,2974.0,4932.0,0.0,26131.881,119,75734,12569.0,13562.0,26131.0,0.0,0.0
1999-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1188.969,5445.574,1661.6,648.096,5995.0,4817.036,3278.91,6888.77,0.0,29923.955,122,80227,13811.0,16113.0,29924.0,0.0,0.0
1999-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1353.3,5799.854,1887.3,587.423,6443.331,4715.506,3977.14,7150.15,0.0,31914.004,125,76616,15396.0,16518.0,31914.0,0.0,0.0
1999-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1569.0,6686.084,2107.6,575.878,6230.794,4717.449,4251.08,8544.13,0.0,34682.015,134,79322,15972.0,18710.0,34682.0,0.0,0.0
2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1586.783,7602.252,2147.2,383.811,6253.744,5175.143,4758.0,9546.51,0.0,37453.443,136,86358,16670.0,20783.0,37453.0,0.0,0.0
2000-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1385.894,7875.709,2301.3,296.88,6686.279,5045.776,5278.0,9789.13,0.0,38658.968,138,92589,17493.0,21166.0,38659.0,0.0,0.0
